陵水餐厅,椰林镇滨河南路海韵广场一层,"24小时,24小时,Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观,礼品卡"
皇姑乐购肯德基餐厅,（实验中学对面）黄河南大街78甲A华润万家一层,"Wi-Fi,Wi-Fi,礼品卡"
南京肯德基有限公司天长天正餐厅,新河南路10号,"24小时,24小时,Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观,礼品卡,手机点餐,手机点餐"
南京肯德基有限公司盐河路时代餐厅,朝阳西路与盐河南路交叉口时代超级购物中心一层,"24小时,24小时,Wi-Fi,Wi-Fi,店内参观,店内参观,礼品卡"
盈泽元餐厅,海河南路9号盈泽元商厦,"24小时,24小时,Wi-Fi,Wi-Fi,店内参观,店内参观,礼品卡"
河南街餐厅,延吉市河南街330-3号,"Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观,礼品卡"
抚顺万达餐厅,浑河南路中段56号万达广场1001-2002号,"Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观,礼品卡"
嵊州世纪联华餐厅,官河南路和兴盛路交叉口世纪联华一楼,"Wi-Fi,Wi-Fi,点唱机,点唱机,礼品卡,礼品卡"
扬州广电餐厅餐厅,汶河南路46号 87364860,"店内参观,店内参观,礼品卡"
易和餐厅,清原镇新村街河南新区易和广场,"精选店,精选店"
瑞峰天虹餐厅,河南岸15号小区三环天虹一层P1002号铺,"Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观"
青岛博览城餐厅,青草河南滨海大道西中铁青岛世界博览城一层,"Wi-Fi,Wi-Fi,店内参观,店内参观"
嵊州西皮茂餐厅,官河南路799号,"Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观"
天长吾悦餐厅,千秋大道南侧新河南路东侧学苑路北侧园林路西侧新城吾悦广场1011号商铺,"Wi-Fi,Wi-Fi,手机点餐,手机点餐"
天水盛达广场餐厅,天河南路十字路口盛达广场一层,"Wi-Fi,Wi-Fi,点唱机,点唱机"
邯郸万达广场餐厅餐厅,滏河南大街101号万达广场一层1001号商铺,"Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观"
汇艺银河里餐厅,商鼎路77号河南文化产业大厦一层,"24小时,24小时,Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观"
邯郸万达广场餐厅餐厅,滏河南大街101号万达广场一层1001号商铺,"Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观"
汇艺银河里餐厅,商鼎路77号河南文化产业大厦一层,"24小时,24小时,Wi-Fi,Wi-Fi,点唱机,点唱机,店内参观,店内参观"
天长吾悦餐厅,千秋大道南侧新河南路东侧学苑路北侧园林路西侧新城吾悦广场1011号商铺,"Wi-Fi,Wi-Fi,手机点餐,手机点餐"
天水盛达广场餐厅,天河南路十字路口盛达广场一层,"Wi-Fi,Wi-Fi,点唱机,点唱机"
只有河南餐厅,郑州国际文化创意产业园剪影路南，文创路东，古翠路西只有河南戏剧幻城A4商业,"Wi-Fi,Wi-Fi,精选店,精选店"
只有河南餐厅,郑州国际文化创意产业园剪影路南，文创路东，古翠路西只有河南戏剧幻城A4商业,"Wi-Fi,Wi-Fi,精选店,精选店"
港惠城餐车餐厅,河南岸街道33号青年公路街区,"24小时,24小时"
港惠城餐车餐厅,河南岸街道33号青年公路街区,"24小时,24小时"
创新梦想广场餐厅,河南南大街滨河路交叉口创新梦想广场一层,"Wi-Fi,Wi-Fi,店内参观,店内参观"
创新梦想广场餐厅,河南南大街滨河路交叉口创新梦想广场一层,"Wi-Fi,Wi-Fi,店内参观,店内参观"
凤凰湾餐厅,自编1号铺容桂街道办事处高黎社区居民委员会翠河南路1号容桂碧桂园风情荟庭1座110号,"Wi-Fi,Wi-Fi,店内参观,店内参观"
凤凰湾餐厅,自编1号铺容桂街道办事处高黎社区居民委员会翠河南路1号容桂碧桂园风情荟庭1座110号,"Wi-Fi,Wi-Fi,店内参观,店内参观"
龙泉路餐厅,01号商铺西环路东侧、文化路北侧、龙泉路西侧、河南路南侧瑞昌奥园广场一层L1-07-,"店内参观,店内参观,手机点餐,手机点餐"
龙泉路餐厅,01号商铺西环路东侧、文化路北侧、龙泉路西侧、河南路南侧瑞昌奥园广场一层L1-07-,"店内参观,店内参观,手机点餐,手机点餐"
济宁利客购物广场餐厅,327国道北，东外环西，杨家河南的杨柳国际新城利客购物广场一层0109户,"Wi-Fi,Wi-Fi,店内参观,店内参观,手机点餐,手机点餐"
济宁利客购物广场餐厅,327国道北，东外环西，杨家河南的杨柳国际新城利客购物广场一层0109户,"Wi-Fi,Wi-Fi,店内参观,店内参观,手机点餐,手机点餐"
河南城建学院餐厅,河南城建学院校内,"精选店,精选店,手机点餐,手机点餐"
河南城建学院餐厅,河南城建学院校内,"精选店,精选店,手机点餐,手机点餐"
